schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,merch_colors,anon_all_merch_colors,PERMISSIVE,{anon},ALL,true,true
public,merch_colors,authenticated_all_merch_colors,PERMISSIVE,{authenticated},ALL,true,true
public,merch_decoration_types,anon_all_merch_decoration_types,PERMISSIVE,{anon},ALL,true,true
public,merch_decoration_types,authenticated_all_merch_decoration_types,PERMISSIVE,{authenticated},ALL,true,true
public,merch_designs,anon_all_merch_designs,PERMISSIVE,{anon},ALL,true,true
public,merch_designs,authenticated_all_merch_designs,PERMISSIVE,{authenticated},ALL,true,true
public,merch_expense_categories,expense_categories_all,PERMISSIVE,{public},ALL,true,true
public,merch_expenses,expenses_all,PERMISSIVE,{public},ALL,true,true
public,merch_fabric_types,anon_all_merch_fabric_types,PERMISSIVE,{anon},ALL,true,true
public,merch_fabric_types,authenticated_all_merch_fabric_types,PERMISSIVE,{authenticated},ALL,true,true
public,merch_inventory,anon_all_merch_inventory,PERMISSIVE,{anon},ALL,true,true
public,merch_inventory,authenticated_all_merch_inventory,PERMISSIVE,{authenticated},ALL,true,true
public,merch_ozon_finance_operations,ozon_finance_ops_all,PERMISSIVE,{public},ALL,true,true
public,merch_ozon_import_items,ozon_import_items_all,PERMISSIVE,{public},ALL,true,true
public,merch_ozon_import_runs,ozon_import_runs_all,PERMISSIVE,{public},ALL,true,true
public,merch_ozon_order_items,ozon_order_items_all,PERMISSIVE,{public},ALL,true,true
public,merch_ozon_orders,ozon_orders_all,PERMISSIVE,{public},ALL,true,true
public,merch_print_inventory,print_inventory_all,PERMISSIVE,{public},ALL,true,true
public,merch_product_categories,anon_all_merch_product_categories,PERMISSIVE,{anon},ALL,true,true
public,merch_product_categories,authenticated_all_merch_product_categories,PERMISSIVE,{authenticated},ALL,true,true
public,merch_products,anon_all_merch_products,PERMISSIVE,{anon},ALL,true,true
public,merch_products,authenticated_all_merch_products,PERMISSIVE,{authenticated},ALL,true,true
public,merch_sizes,anon_all_merch_sizes,PERMISSIVE,{anon},ALL,true,true
public,merch_sizes,authenticated_all_merch_sizes,PERMISSIVE,{authenticated},ALL,true,true
public,merch_transactions,anon_all_merch_transactions,PERMISSIVE,{anon},ALL,true,true
public,merch_transactions,authenticated_all_merch_transactions,PERMISSIVE,{authenticated},ALL,true,true
public,merch_warehouses,anon_all_merch_warehouses,PERMISSIVE,{anon},ALL,true,true
public,merch_warehouses,authenticated_all_merch_warehouses,PERMISSIVE,{authenticated},ALL,true,true
public,merch_workshop_order_items,anon_all_merch_workshop_order_items,PERMISSIVE,{anon},ALL,true,true
public,merch_workshop_order_items,authenticated_all_merch_workshop_order_items,PERMISSIVE,{authenticated},ALL,true,true
public,merch_workshop_orders,anon_all_merch_workshop_orders,PERMISSIVE,{anon},ALL,true,true
public,merch_workshop_orders,authenticated_all_merch_workshop_orders,PERMISSIVE,{authenticated},ALL,true,true
